attack,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,sp_attack,sp_defense,speed,weight_kg
100,100,600,3,100,1250000,0.4,100,100,100,100,4
45,70,308,45,55,1059860,0.6,45,45,55,63,8.1
60,70,413,45,75,1059860,0.8,60,60,75,83,16
75,70,528,45,95,1059860,3.3,75,75,95,113,63
63,70,308,45,45,1059860,0.5,65,45,45,45,9.9
93,70,418,45,55,1059860,1,90,70,55,55,55.5
123,70,528,45,65,1059860,1.6,110,100,65,65,150
55,70,308,45,45,1059860,0.5,55,63,45,45,5.9
75,70,413,45,60,1059860,0.8,75,83,60,60,24.5
100,70,528,45,85,1059860,1.5,95,108,70,70,94.6
55,70,255,255,39,1000000,0.5,45,35,39,42,11.6
85,70,420,255,69,1000000,1.1,60,60,69,77,27
60,70,275,255,45,1059860,0.4,45,25,45,55,4.1
80,70,370,120,65,1059860,0.9,65,35,65,60,14.7
110,70,500,45,90,1059860,1.2,85,45,90,80,61
50,70,281,255,37,1000000,0.4,41,50,37,66,10.1
88,70,446,90,50,1000000,1.1,64,88,50,106,37.5
53,70,316,190,48,1000000,0.6,50,53,48,64,10.5
98,70,498,75,63,1000000,1.1,75,98,63,101,30.5
53,70,316,190,48,1000000,0.6,50,53,48,64,11
98,70,498,75,63,1000000,1,75,98,63,101,28
53,70,316,190,48,1000000,0.6,50,53,48,64,13.5
98,70,498,75,63,1000000,1,75,98,63,101,29
25,70,292,190,45,800000,0.6,76,67,55,24,23.3
55,70,487,75,85,800000,1.1,116,107,95,29,60.5
55,70,264,255,50,1059860,0.3,50,36,30,43,2.1
77,70,358,120,62,1059860,0.6,62,50,42,65,15
115,70,488,45,80,1059860,1.2,80,65,55,93,29
60,70,295,190,32,1000000,0.8,45,50,32,76,29.8
100,70,497,75,63,1000000,1.6,75,80,63,116,79.5
75,70,280,255,85,1059860,0.4,55,25,25,15,18
105,70,390,120,105,1059860,0.9,70,50,40,20,102
135,70,515,45,130,1059860,1.7,85,60,80,25,260
45,70,323,190,43,1000000,0.4,65,55,43,72,2.1
57,70,425,45,55,1000000,0.9,67,77,55,114,10.5
85,70,328,120,40,1000000,0.3,60,30,45,68,8.5
135,70,508,60,60,1000000,0.7,110,50,65,88,40.4
60,70,545,255,126,800000,1.1,103,80,126,50,31
80,70,305,180,55,1059860,0.6,75,25,35,35,12.5
105,70,405,90,85,1059860,1.2,85,40,50,40,40
140,70,505,45,95,1059860,1.4,105,55,65,45,87
50,70,294,255,40,1059860,0.5,50,50,40,64,4.5
65,70,384,120,55,1059860,0.8,75,65,55,69,17
95,70,509,45,75,1059860,1.5,105,85,75,74,62
100,70,465,45,85,1000000,1.3,120,30,85,45,55.5
125,70,465,45,75,1000000,1.4,75,30,75,85,51
53,70,310,255,70,1059860,0.3,45,40,60,42,2.5
63,70,380,120,90,1059860,0.5,55,50,80,42,7.3
103,70,500,45,80,1059860,1.2,75,70,80,92,20.5
45,70,260,255,59,1059860,0.4,30,30,39,57,5.3
55,70,360,120,99,1059860,1.2,40,40,79,47,58.5
100,70,485,45,89,1059860,2.5,60,55,69,112,200.5
27,70,280,190,60,1000000,0.3,40,37,50,66,0.6
67,70,480,75,85,1000000,0.7,60,77,75,116,6.6
35,70,280,190,50,1000000,0.5,45,70,50,30,6.6
60,70,480,75,75,1000000,1.1,70,110,75,90,16.3
92,70,460,25,65,1000000,1,70,80,55,98,18
72,70,292,180,35,1059860,0.7,50,35,35,65,15.2
82,70,351,90,45,1059860,1,60,45,45,74,33.4
117,70,519,45,80,1059860,1.5,95,65,70,92,96.3
90,70,315,120,45,1059860,0.6,70,15,45,50,37.5
30,70,540,60,105,1059860,1.3,105,140,105,55,92.9
86,70,461,255,67,1000000,1,75,106,67,60,28
65,70,325,190,85,1000000,0.3,50,35,35,55,14.5
105,70,485,75,125,1000000,1.4,70,65,75,45,200
75,35,348,180,70,1000000,0.6,50,35,70,48,11.8
90,70,488,90,115,1000000,1.1,65,45,115,58,30
58,70,490,45,80,1000000,1.4,72,103,80,97,14
30,70,303,190,85,1000000,0.5,38,55,65,30,1.5
50,70,483,90,145,1000000,1.7,58,95,105,30,76.5
78,70,355,45,103,1000000,0.7,54,53,45,22,16.5
108,70,495,45,133,1000000,1.2,74,83,65,32,81
112,70,401,45,45,1000000,0.5,55,74,45,70,9.5
140,70,567,45,65,1000000,1.4,75,112,65,110,32
50,70,329,190,62,1000000,0.6,50,40,62,65,31
95,70,474,60,82,1000000,1.9,80,60,82,75,107.3
65,70,330,75,40,1059860,0.7,40,80,40,65,12.5
105,70,510,45,60,1059860,1.6,60,120,60,105,81.1
50,70,300,255,40,800000,0.4,55,40,40,75,5.8
95,70,470,60,60,800000,0.5,75,65,60,115,7.5
30,70,290,200,50,1059860,0.4,45,55,65,45,5.8
45,70,390,100,70,1059860,0.7,60,75,85,55,18
55,70,490,50,95,1059860,1.5,70,95,110,65,44
30,70,290,200,40,1059860,0.3,45,105,50,20,1
40,70,370,100,50,1059860,0.6,65,125,60,30,8
65,70,490,50,75,1059860,1,110,125,85,30,20.1
44,70,305,190,50,1000000,0.5,62,44,50,55,5.5
87,70,473,45,63,1000000,1.3,75,87,63,98,24.2
50,70,305,255,50,1250000,0.4,36,65,60,44,5.7
65,70,395,120,65,1250000,1.1,51,80,75,59,41
95,70,535,45,85,1250000,1.3,71,110,95,79,57.5
60,70,335,190,50,1000000,0.6,60,40,50,75,19.5
100,70,475,75,70,1000000,1.9,80,60,70,95,92.5
75,70,428,200,60,1000000,0.4,55,75,60,103,5
75,70,315,200,45,1000000,0.5,50,40,45,60,5.9
135,70,495,75,105,1000000,1,70,60,105,20,33
55,70,294,190,45,1000000,0.2,69,55,55,15,1
85,70,464,75,70,1000000,0.6,114,85,80,30,10.5
40,70,335,190,50,1000000,1.2,55,65,85,40,33
60,70,480,60,70,1000000,2.2,100,85,105,60,135
75,70,470,75,80,800000,1.2,165,40,45,65,31.6
47,70,319,190,50,1000000,0.1,50,57,50,65,0.6
77,70,472,75,60,1000000,0.8,70,97,60,108,14.3
50,70,305,255,91,1000000,0.6,44,24,86,10,18.8
94,70,489,90,131,1000000,1,74,54,116,20,110
55,70,300,130,70,1059860,0.3,40,45,60,30,21
80,70,440,60,95,1059860,0.6,60,70,85,50,51
100,70,520,30,115,1059860,0.6,60,70,85,90,81
55,70,275,190,40,1250000,0.2,35,45,40,60,0.3
85,70,405,60,70,1250000,1.2,65,75,70,40,22
115,70,515,30,80,1250000,2.1,85,105,80,50,80.5
55,70,335,255,55,1000000,0.5,55,85,55,30,9
75,70,485,90,75,1000000,1,75,125,95,40,34.5
30,70,275,190,55,1059860,0.3,50,65,55,20,3.1
40,70,370,90,60,1059860,0.6,60,95,60,55,13
55,70,520,45,90,1059860,1,60,145,90,80,34.3
87,35,320,75,60,1250000,0.6,46,30,40,57,18
117,35,410,60,70,1250000,1,66,40,50,67,36
147,35,540,45,90,1250000,1.8,76,60,70,97,105.5
70,70,305,120,40,1000000,0.5,55,60,40,40,8.5
130,70,505,60,80,1000000,2.6,95,70,80,50,260
50,70,515,25,50,1000000,1.1,80,95,135,105,148
40,70,305,200,85,1000000,0.4,50,40,65,25,7.7
70,70,495,75,40,1000000,0.8,80,100,60,145,25.3
66,70,471,75,84,1000000,0.7,109,81,99,32,11
85,70,350,180,50,1059860,0.9,45,55,50,65,20
125,70,510,45,60,1059860,1.4,65,95,60,105,35.5
120,70,485,45,90,1000000,1.6,77,60,90,48,139
74,70,303,190,50,1000000,1,59,35,50,35,92
124,70,483,90,80,1000000,2.8,89,55,80,55,330
85,35,340,120,70,1000000,0.5,45,40,40,60,10.2
125,35,490,45,100,1000000,1.6,65,60,70,70,70
110,70,490,45,95,1000000,1.6,95,40,95,55,94.6
83,70,350,190,50,1250000,0.5,70,37,50,60,10.5
123,70,510,60,75,1250000,1.5,100,57,75,80,41
55,35,370,190,75,1250000,0.5,70,45,65,60,9
65,35,510,60,105,1250000,1.2,110,55,95,80,39.5
97,70,484,90,66,1000000,1.4,85,105,66,65,58
109,70,484,90,112,1000000,0.3,58,48,48,109,33
65,35,300,45,50,1250000,0.8,52,45,50,38,17.3
